Top 10 with default args

---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                             Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                  aten::clamp_min        12.30%       1.492ms        12.30%       1.492ms       1.492ms             1  
                aten::convolution         8.74%       1.059ms        21.12%       2.560ms       2.560ms             1  
                      aten::addmm         8.59%       1.042ms         9.31%       1.129ms       1.129ms             1  
                     aten::conv2d         7.56%     916.797us        28.68%       3.477ms       3.477ms             1  
    aten::max_pool2d_with_indices         7.20%     873.507us         7.20%     873.507us     873.507us             1  
               aten::_log_softmax         6.74%     817.009us         6.74%     817.009us     817.009us             1  
                 aten::bernoulli_         6.15%     745.928us         6.15%     745.928us     745.928us             1  
       aten::_slow_conv2d_forward         5.47%     663.266us         5.56%     674.139us     674.139us             1  
            aten::feature_dropout         4.81%     582.936us        14.87%       1.803ms       1.803ms             1  
                          aten::t         4.59%     556.769us         4.62%     559.686us     559.686us             1  
---------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  

Top 10 with batch_size 128
